,DATE,GDP
273,2015-04-01,1.4802775343265364
274,2015-07-01,1.4965967074196542
275,2015-10-01,1.5010850760406833
276,2016-01-01,1.51324603564544
277,2016-04-01,1.538127410428646
278,2016-07-01,1.5623616007895182
279,2016-10-01,1.5887124003031508
280,2017-01-01,1.6142548889747335
281,2017-04-01,1.6354918332671096
282,2017-07-01,1.6695054463508034
283,2017-10-01,1.715645865060012
284,2018-01-01,1.7546838633330668
285,2018-04-01,1.7884841144993815
286,2018-07-01,1.8176580417559653
287,2018-10-01,1.833614914794776
288,2019-01-01,1.85856285635321
289,2019-04-01,1.896151252597516
290,2019-07-01,1.9376057453547881
291,2019-10-01,1.9654791426567246
292,2020-01-01,1.9392439309238194
293,2020-04-01,1.6990450220910318
294,2020-07-01,1.931358647708581
295,2020-10-01,1.9818344787866864
296,2021-01-01,2.0589398326364696
297,2021-04-01,2.151648063575513
298,2021-07-01,2.223520224182455
299,2021-10-01,2.3341027727360797
300,2022-01-01,2.3842639853936434
301,2022-04-01,2.453262657880398
302,2022-07-01,2.5135834069591647
303,2022-10-01,2.569002055487972
304,2023-01-01,2.6232728624399173
305,2023-04-01,2.656678266818765
306,2023-07-01,2.729957437433284
307,2023-10-01,2.776416224803893
308,2024-01-01,2.8202806491238817
